Order ID,Date,Region,Salesperson,Category,Product,Units Sold,Unit Price,Revenue,Discount,Profit
ORD350521,6/28/2023,East,Josephine,Stationery,Pencil,32,227.46,7278.72,0.06,5913.4
ORD358187,1/1/2023,East,Kofi,Groceries,Oil,13,1906.19,24780.47,0.22,15300.37
ORD578870,4/15/2025,East,Richard,Furniture,Cabinet,15,1353.02,20295.3,0.02,13683.89
ORD949071,4/1/2025,South,Kofi,Electronics,Tablet,48,1468.94,70509.12,0.26,41835.32
ORD976525,6/25/2023,West,Anita,Electronics,Laptop,32,1171.25,37480,0.28,20606.88
ORD732202,4/17/2023,East,Emmanuel,Clothing,Jacket,46,973.85,44797.1,0.08,28102.91
ORD718039,5/8/2025,West,Richard,Furniture,Sofa,36,911.09,32799.24,0.17,21453.77
ORD254200,6/22/2025,North,Stephen,Electronics,Smartphone,25,1672,41800,0.14,29045.39
ORD595553,7/16/2024,East,Yaw,Clothing,Jeans,15,713.5,10702.5,0.07,8620.11
ORD689433,7/18/2023,East,Ama,Clothing,Dress,17,352.74,5996.58,0.15,4531.97
ORD392881,5/10/2023,South,Yaw,Furniture,Sofa,39,257.21,10031.19,0.23,5928.57
ORD620370,12/15/2024,South,Sarah,Clothing,Dress,32,845.45,27054.4,0.14,16249.6
ORD365286,8/29/2023,West,Kwame,Groceries,Oil,13,1224.35,15916.55,0.12,9968.61
ORD636827,7/30/2024,West,Emmanuel,Furniture,Sofa,29,1412.19,40953.51,0.26,18373.29
ORD583069,8/15/2023,West,Anita,Electronics,Laptop,41,1921.82,78794.62,0.27,37493.98
ORD472347,10/8/2025,West,Kwame,Furniture,Sofa,17,228.57,3885.69,0.09,2466.43
ORD702263,3/16/2023,North,Kofi,Stationery,Marker,3,768.85,2306.55,0.14,1342.23
ORD755385,7/7/2025,East,Sarah,Furniture,Sofa,48,473.22,22714.56,0.21,12558.39
ORD298021,3/2/2025,East,Emmanuel,Stationery,Marker,48,1388.27,66636.96,0.04,44186.89
ORD929064,3/18/2023,South,Kwame,Stationery,Notebook,20,906.99,18139.8,0.07,11980.4
ORD586079,11/11/2025,North,Priscilla,Clothing,Dress,31,1752.61,54330.91,0.28,32800.74
ORD251335,5/21/2023,South,Kwame,Furniture,Desk,22,594.22,13072.84,0.3,7596.77
ORD322646,12/4/2023,South,Josephine,Clothing,Dress,21,1201.75,25236.75,0.02,18893.52
ORD610381,3/24/2024,East,Emmanuel,Furniture,Desk,6,511.02,3066.12,0.24,1497.08
ORD427401,9/6/2025,West,Anita,Furniture,Chair,39,1558.77,60792.03,0.08,38443.74
ORD180490,9/29/2023,South,Sarah,Stationery,Notebook,43,77.96,3352.28,0.18,2084.82
ORD115577,2/17/2024,East,Josephine,Stationery,Pencil,16,990,15840,0.22,8589.85
ORD583211,10/6/2024,North,Kofi,Groceries,Oil,12,142.86,1714.32,0.05,1078.6
ORD546872,7/9/2025,West,Evelyn,Furniture,Desk,26,1455.45,37841.7,0.28,22839.21
ORD452099,10/8/2025,East,Evelyn,Groceries,Rice,4,1560.89,6243.56,0.05,5217.16
ORD581559,4/23/2023,North,Josephine,Furniture,Cabinet,26,1902.36,49461.36,0.02,33659.22
ORD546312,6/30/2024,West,Sarah,Clothing,T-shirt,44,1237.92,54468.48,0.08,40420.64
ORD296364,4/24/2025,South,Kwame,Stationery,Pen,17,1938.76,32958.92,0.11,21062.83
ORD234610,6/24/2025,East,Yaw,Groceries,Oil,5,1268.91,6344.55,0.24,3562.95
ORD168938,6/5/2025,West,Richard,Clothing,Dress,35,1509.74,52840.9,0.07,34402.47
ORD322043,7/17/2025,South,Josephine,Electronics,Smartphone,3,438.59,1315.77,0.11,757.78
ORD734824,1/1/2023,West,Anita,Electronics,Tablet,32,1058.43,33869.76,0.22,20999.97
ORD309667,11/21/2024,West,Daniel,Electronics,Tablet,45,1184.3,53293.5,0.01,41252.92
ORD133536,10/9/2025,North,Richard,Electronics,Camera,19,911.18,17312.42,0.12,12231.84
ORD342581,9/26/2025,West,Richard,Clothing,Jacket,37,1741.42,64432.54,0.21,42677.64
ORD795870,11/13/2023,South,Priscilla,Groceries,Oil,5,967.79,4838.95,0.05,3756.51
ORD528781,9/19/2023,South,Michael,Stationery,Pencil,25,1288.71,32217.75,0.14,20961.23
ORD475455,11/18/2025,South,Sarah,Clothing,T-shirt,13,778.72,10123.36,0.18,5301.43
ORD448709,10/30/2023,North,Priscilla,Groceries,Oil,12,1606.33,19275.96,0.06,14597.66
ORD473768,11/28/2024,South,Kwame,Stationery,Pen,24,1750.74,42017.76,0.06,26830.23
ORD782145,12/9/2024,East,Anita,Stationery,Marker,44,975.6,42926.4,0.07,32657.29
ORD556308,2/23/2023,East,Stephen,Electronics,Camera,49,1288.97,63159.53,0.08,51619.83
ORD613256,11/18/2025,South,Yaw,Clothing,T-shirt,17,186.53,3171.01,0.28,1718.48
ORD873117,1/5/2023,South,Emmanuel,Stationery,Notebook,43,1045.12,44940.16,0.1,31382.63
ORD293477,8/6/2024,West,Priscilla,Clothing,Jacket,29,1136.15,32948.35,0.04,22307.42
ORD978524,7/20/2023,East,Emmanuel,Furniture,Chair,23,1297.17,29834.91,0.21,16014.51
ORD342234,1/15/2024,East,Priscilla,Stationery,Notebook,1,1296.72,1296.72,0.04,965.44
ORD742766,4/27/2025,East,Stephen,Stationery,Pencil,7,640.58,4484.06,0.16,3344.74
ORD975930,4/1/2023,South,Daniel,Clothing,Dress,38,998.36,37937.68,0.16,27956.54
ORD195416,1/26/2024,North,Anita,Furniture,Chair,1,564.23,564.23,0.23,349.13
ORD394097,3/4/2023,East,Priscilla,Clothing,T-shirt,22,1421.31,31268.82,0.25,18201.38
ORD657823,1/15/2025,East,Ama,Furniture,Sofa,10,1088.03,10880.3,0.3,5419.99
ORD877250,10/13/2023,West,Daniel,Groceries,Milk,43,1728.74,74335.82,0.1,56704.63
ORD446350,10/13/2025,West,Yaw,Clothing,Jeans,1,1695.22,1695.22,0.27,1060.44
ORD791777,4/5/2023,East,Evelyn,Electronics,Laptop,44,869.31,38249.64,0.16,27842.99
ORD366205,7/24/2025,East,Yaw,Groceries,Rice,41,1961.32,80414.12,0,67148.02
ORD705231,7/27/2025,East,Anita,Groceries,Rice,36,346.19,12462.84,0.29,6133.61
ORD785152,5/19/2024,North,Yaw,Groceries,Milk,43,376.73,16199.39,0.2,11379.74
ORD447093,4/11/2023,North,Sarah,Electronics,Smartphone,10,1414.22,14142.2,0.05,11306.19
ORD857169,8/15/2025,South,Josephine,Groceries,Bread,47,214.46,10079.62,0.13,6881.75
ORD695675,3/22/2025,North,Ama,Clothing,Jacket,26,1213.2,31543.2,0.13,18541.46
ORD117588,9/12/2023,West,Michael,Groceries,Oil,5,96.84,484.2,0.16,311.49
ORD941521,2/4/2023,North,Anita,Clothing,Jacket,29,910.3,26398.7,0.07,21253.28
ORD388244,1/4/2025,South,Sarah,Furniture,Sofa,22,957.06,21055.32,0.14,13666.19
ORD121120,1/13/2023,West,Ama,Groceries,Milk,16,820.88,13134.08,0.28,6374.52
ORD498876,12/27/2024,North,Yaw,Electronics,Tablet,29,1173.93,34043.97,0.03,26864.77
ORD836942,10/3/2024,West,Josephine,Stationery,Notebook,16,1890.04,30240.64,0.21,20028.89
ORD869071,10/2/2025,West,Stephen,Electronics,Laptop,49,1934.54,94792.46,0.17,52029.66
ORD289748,8/31/2024,East,Josephine,Stationery,Pencil,23,498.28,11460.44,0.17,8508.05
